ID_date;ID_site;C14Age;Std;Method;Sample;Sample_type;Type_site;Marine;Marine_err;Reservoir;Reservoir_err;Combined;Filtered
55;1;14800;2900;OSL;Sediment;Individual;Shelter;0;0;0;0;0;0
66;2;15660;86;AMS;Tooth;Individual;Open;0;0;0;0;0;1
770;2;8749;58;C14;Charcoal;Individual;Open;0;0;0;0;0;1
1118;2;8825;57;C14;Charcoal;Individual;Open;0;0;0;0;0;1
1119;2;8886;30;C14;Charcoal;Individual;Open;0;0;0;0;0;1
36;2;7500;90;AMS;Human_tooth;Individual;Open;0.3;0;69;17;0;1
65;3;12590;100;C14;Charcoal;Unknown;Cave ;0;0;0;0;0;1
70;3;14380;90;C14;Charcoal;Unknown;Cave ;0;0;0;0;0;1
71;3;10900;70;C14;Charcoal;Unknown;Cave ;0;0;0;0;0;1
72;3;12410;80;C14;Charcoal;Unknown;Cave ;0;0;0;0;0;1
73;3;15110;90;C14;Charcoal;Unknown;Cave ;0;0;0;0;0;1
74;3;12590;80;C14;Charcoal;Unknown;Cave ;0;0;0;0;0;1
56;4;10260;70;C14;Shell;Aggregated;Shelter;1;0;380;30;0;1
260;98;6455;60;C14;Shell;Individual;Cave;1;0;-105;21;0;1
75;4;9880;220;C14;Bone;Individual;Shelter;0;0;0;0;0;0
76;4;10110;90;C14;Bone;Aggregated;Shelter;0;0;0;0;0;1
60;5;9100;160;C14;Charcoal;Unknown;Open;0;0;0;0;0;1
77;5;9270;170;C14;Charcoal;Unknown;Open;0;0;0;0;0;1
78;5;10160;80;C14;Charcoal;Aggregated;Open;0;0;0;0;0;1
79;5;10940;210;C14;Charcoal;Unknown;Open;0;0;0;0;0;0
80;5;11110;130;C14;Charcoal;Aggregated;Open;0;0;0;0;0;1
81;5;11160;280;C14;Charcoal;Aggregated;Open;0;0;0;0;0;0
82;5;11680;60;C14;Charcoal;Aggregated;Open;0;0;0;0;0;1
83;5;12220;110;C14;Charcoal;Aggregated;Open;0;0;0;0;0;1
85;5;11810;110;C14;Charcoal;Individual;Open;0;0;0;0;0;1
86;5;14050;850;C14;Charcoal;Aggregated;Open;0;0;0;0;0;0
87;5;15420;180;C14;Charcoal;Aggregated;Open;0;0;0;0;0;1
88;5;15040;210;C14;Charcoal;Aggregated;Open;0;0;0;0;0;0
89;5;15410;195;C14;Charcoal;Individual;Open;0;0;0;0;0;1
90;5;16340;420;C14;Charcoal;Aggregated;Open;0;0;0;0;0;0
