Age;d18O;
6000;-34.65;
6000;-34.77;
6050;-34.77;
6050;-35.09;
6100;-35.09;
6100;-34.51;
6150;-34.51;
6150;-34.84;
6200;-34.84;
6200;-35.02;
6250;-35.02;
6250;-34.72;
6300;-34.72;
6300;-34.79;
6350;-34.79;
6350;-34.65;
6400;-34.65;
6400;-34.83;
6450;-34.83;
6450;-34.83;
6500;-34.83;
6500;-35.03;
6550;-35.03;
6550;-34.75;
6600;-34.75;
6600;-34.68;
6650;-34.68;
6650;-34.91;
6700;-34.91;
6700;-34.45;
6750;-34.45;
6750;-34.17;
6800;-34.17;
6800;-34.24;
6850;-34.24;
6850;-34.22;
6900;-34.22;
6900;-34.61;
6950;-34.61;
6950;-34.62;
7000;-34.62;
7000;-35.07;
7050;-35.07;
7050;-34.85;
7100;-34.85;
7100;-34.78;
7150;-34.78;
7150;-35.01;
7200;-35.01;
7200;-34.98;
7250;-34.98;
7250;-34.58;
7300;-34.58;
7300;-34.56;
7350;-34.56;
7350;-34.44;
7400;-34.44;
7400;-34.54;
7450;-34.54;
7450;-35.02;
7500;-35.02;
7500;-34.62;
7550;-34.62;
7550;-34.55;
7600;-34.55;
7600;-34.42;
7650;-34.42;
7650;-34.26;
7700;-34.26;
7700;-34.3;
7750;-34.3;
7750;-34.23;
7800;-34.23;
7800;-34.38;
7850;-34.38;
7850;-34.53;
7900;-34.53;
7900;-34.44;
7950;-34.44;
7950;-34.69;
8000;-34.69;
8000;-34.99;
8050;-34.99;
8050;-35.15;
8100;-35.15;
8100;-35.35;
8150;-35.35;
8150;-36.29;
8200;-36.29;
8200;-35.36;
8250;-35.36;
8250;-34.6;
8300;-34.6;
8300;-34.72;
8350;-34.72;
8350;-34.8;
8400;-34.8;
8400;-34.71;
8450;-34.71;
8450;-34.72;
8500;-34.72;
8500;-34.72;
8550;-34.72;
8550;-34.56;
8600;-34.56;
8600;-34.7;
8650;-34.7;
8650;-34.58;
8700;-34.58;
8700;-34.35;
8750;-34.35;
8750;-34.48;
8800;-34.48;
8800;-34.77;
8850;-34.77;
8850;-34.13;
8900;-34.13;
8900;-34.33;
8950;-34.33;
8950;-34.81;
9000;-34.81;
9000;-34.53;
9050;-34.53;
9050;-34.4;
9100;-34.4;
9100;-34.59;
9150;-34.59;
9150;-34.73;
9200;-34.73;
9200;-35.06;
9250;-35.06;
9250;-34.79;
9300;-34.79;
9300;-34.31;
9350;-34.31;
9350;-34.22;
9400;-34.22;
9400;-34.7;
9450;-34.7;
9450;-35.31;
9500;-35.31;
9500;-35.03;
9550;-35.03;
9550;-34.76;
9600;-34.76;
9600;-34.49;
9650;-34.49;
9650;-34.71;
9700;-34.71;
9700;-34.31;
9750;-34.31;
9750;-34.69;
9800;-34.69;
9800;-34.96;
9850;-34.96;
9850;-35.09;
9900;-35.09;
9900;-34.74;
9950;-34.74;
9950;-34.51;
10000;-34.51;
10000;-34.99;
10050;-34.99;
10050;-35.41;
10100;-35.41;
10100;-35.43;
10150;-35.43;
10150;-34.85;
10200;-34.85;
10200;-35.53;
10250;-35.53;
10250;-35.35;
10300;-35.35;
10300;-35.6;
10350;-35.6;
10350;-36;
10400;-36;
10400;-35.74;
10450;-35.74;
10450;-35.43;
10500;-35.43;
10500;-35.86;
10550;-35.86;
10550;-35.71;
10600;-35.71;
10600;-35.78;
10650;-35.78;
10650;-35.93;
10700;-35.93;
10700;-36.24;
10750;-36.24;
10750;-35.78;
10800;-35.78;
10800;-35.99;
10850;-35.99;
10850;-36.47;
10900;-36.47;
10900;-36.75;
10950;-36.75;
10950;-36.53;
11000;-36.53;
11000;-36.29;
11050;-36.29;
11050;-36.47;
11100;-36.47;
11100;-36.51;
11150;-36.51;
11150;-36.88;
11200;-36.88;
11200;-36.03;
11250;-36.03;
11250;-36.63;
11300;-36.63;
11300;-36.69;
11350;-36.69;
11350;-37.95;
11400;-37.95;
11400;-37.28;
11450;-37.28;
11450;-36.78;
11500;-36.78;
11500;-36.36;
11550;-36.36;
11550;-36.48;
11600;-36.48;
11600;-37.63;
11650;-37.63;
11650;-40.07;
11700;-40.07;
11700;-39.23;
11750;-39.23;
11750;-39.77;
11800;-39.77;
11800;-40.54;
11850;-40.54;
11850;-40.3;
11900;-40.3;
11900;-39.28;
11950;-39.28;
11950;-39.1;
12000;-39.1;
12000;-39.36;
12050;-39.36;
12050;-40.07;
12100;-40.07;
12100;-39.8;
12150;-39.8;
12150;-40.47;
12200;-40.47;
12200;-40.12;
12250;-40.12;
12250;-39.28;
12300;-39.28;
12300;-40.58;
12350;-40.58;
12350;-39.25;
12400;-39.25;
12400;-40.8;
